id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count,taxon_group,type
88421670,245619,,Philodinidae,jordanburkhardt,https://static.inaturalist.org/photos/145892523/medium.gif,family,919546,1|126917|126918|919546|245619,28,32,,
90655739,56851,narrowleaf milkweed,Asclepias fascicularis,andreacala,https://inaturalist-open-data.s3.amazonaws.com/photos/149848104/medium.jpeg,species,47906,47126|211194|47124|47363|47362|47906|56851,28,28,,
90853418,4246,Pied-billed Grebe,Podilymbus podiceps,kgerner,https://inaturalist-open-data.s3.amazonaws.com/photos/150196381/medium.jpeg,species,4245,1|2|3|67563|4203|4245|4246,28,28,,
89791016,56832,Mourning Cloak,Nymphalis antiopa,guitarsax66,https://static.inaturalist.org/photos/148317401/medium.jpg,species,49921,1|47120|47158|47157|47922|49921|56832,28,28,,
90323733,59774,Blue Dasher,Pachydiplax longipennis,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149262870/medium.jpeg,species,59775,1|47120|47158|47792|47819|59775|59774,27,27,,
90294424,1081332,Umber Skipper,Lon melane,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149210311/medium.jpeg,species,1081313,1|47120|47158|47157|47653|1081313|1081332,27,27,,
90294384,58831,Telegraphweed,Heterotheca grandiflora,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149209778/medium.jpeg,species,57989,47126|211194|47124|47605|47604|57989|58831,27,27,,
90040112,53294,Common Sow-thistle,Sonchus oleraceus,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/148755456/medium.jpeg,species,53270,47126|211194|47124|47605|47604|53270|53294,27,27,,
90314431,120719,Baja California Tree Frog,Pseudacris hypochondriaca,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149250072/medium.jpeg,species,24253,1|2|20978|20979|23540|24253|120719,27,27,Amphibians,Stream/Riparian Species
90294411,53052,fennel,Foeniculum vulgare,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149210165/medium.jpeg,species,53053,47126|211194|47124|48700|48699|53053|53052,27,27,,
90655539,236935,Domestic Mallard,Anas platyrhynchos domesticus,andreacala,https://inaturalist-open-data.s3.amazonaws.com/photos/149847598/medium.jpeg,variety,6930,1|2|3|6888|6912|6922|6930|236935,26,26,,
