scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Gymnothorax mordax,California Moray,Actinopterygii,317127,
Salpa maxima,,Animalia,800859,
Acanthocybium solandri,Wahoo,Actinopterygii,47257,
Aequorea pensilis,,Animalia,647476,
Palaemon elegans,Rockpool Prawn,Animalia,153169,
Seriola fasciata,Lesser Amberjack,Actinopterygii,120689,
Terebrinae,,Mollusca,1067264,
Conoidea,Cone Snails and Allies,Mollusca,480704,
Hippolyte coerulescens,Cerulean Sargassum Shrimp,Animalia,459587,
Dicathais orbita,Cart-Rut Shell,Mollusca,324573,
Plebidonax deltoides,Common Pipi,Mollusca,1040632,
Eatoniella atropurpurea,,Mollusca,388829,
Labidura riparia,Shore Earwig,Insecta,307026,
Chama asperella,,Mollusca,926626,
Sabellaria alveolata,Honeycomb Worm,Animalia,338082,
Patella,,Mollusca,130088,
Pollicipes pollicipes,Goose barnacle,Animalia,332554,
Talitridae,Sandhoppers and Landhoppers,Animalia,63288,
Actinia equina,Beadlet anemone,Animalia,130085,
Mytilus galloprovincialis,Mediterranean Mussel,Mollusca,81648,
Porphyra umbilicalis,Purple Laver,Plantae,127581,
Ligia,Sea Slaters,Animalia,55358,True
Melarhaphe neritoides,Small Periwinkle,Mollusca,359918,
